miR_ID,mRNA_ID
hsa-miR-33b-5p,NM_005502
hsa-miR-26a-5p,NM_005502
hsa-miR-33a-5p,NM_005502
hsa-miR-26b-5p,NM_005502
hsa-miR-19a-3p,NM_005502
hsa-miR-27a-3p,NM_005502
hsa-miR-203a,NM_005157
hsa-miR-29a-3p,NM_005157
hsa-miR-30a-5p,NM_005157
hsa-miR-644a,NM_001101
hsa-miR-218-5p,NM_001102
hsa-miR-148a-3p,NM_001105
hsa-miR-24-3p,NM_004302
hsa-miR-16-5p,NM_001278579
hsa-miR-141-3p,NM_001106
hsa-miR-194-5p,NM_001106
hsa-miR-200c-3p,NM_001106
hsa-miR-215-5p,NM_001106
hsa-miR-192-5p,NM_001106
hsa-miR-122-5p,NM_001110
hsa-miR-1,NM_001025107
hsa-miR-182-5p,NM_015270
hsa-miR-27b-3p,NM_000676
hsa-miR-223-3p,NM_001618
hsa-miR-145-5p,NM_001030007
hsa-miR-21-5p,NM_000214
hsa-miR-34b-3p,NM_000214
hsa-miR-524-5p,NM_000214
hsa-miR-34a-5p,NM_000214
hsa-miR-155-5p,NM_000685
hsa-miR-124-3p,NM_001621
hsa-miR-143-3p,NM_001014431
hsa-miR-149-3p,NM_001014431
hsa-miR-451a,NM_001014431
hsa-miR-302d-3p,NM_001014431
hsa-miR-302b-3p,NM_001014431
hsa-miR-125b-5p,NM_001014431
hsa-miR-302a-3p,NM_001014431
hsa-miR-302c-3p,NM_001014431
hsa-miR-708-5p,NM_001243027
hsa-miR-184,NM_001243027
hsa-miR-21-5p,NM_001243027
hsa-miR-145-5p,NM_000691
hsa-miR-204-5p,NM_000478
hsa-miR-145-5p,NM_031313
hsa-miR-409-3p,NM_001097577
hsa-miR-122-5p,NM_001127493
hsa-miR-196a-5p,NM_000700
hsa-miR-122-5p,NM_001157
hsa-miR-21-5p,NM_181869
hsa-miR-155-5p,NM_181869
hsa-miR-155-5p,NM_000038
hsa-miR-27a-3p,NM_000038
hsa-miR-106b-5p,NM_000038
hsa-miR-204-5p,NM_001166
hsa-miR-335-5p,NM_001012271
hsa-miR-542-3p,NM_001012271
hsa-miR-203a,NM_001012271
hsa-miR-101-3p,NM_000484
hsa-let-7a-5p,NM_000484
hsa-miR-106a-5p,NM_000484
hsa-miR-520c-3p,NM_000484
hsa-miR-20a-5p,NM_000484
hsa-miR-130a-3p,NM_000484
hsa-let-7d-5p,NM_000484
hsa-miR-15a-5p,NM_000484
hsa-miR-17-5p,NM_000484
hsa-miR-106b-5p,NM_000484
hsa-miR-21-5p,NM_000639
hsa-miR-320a,NM_001650
hsa-miR-185-5p,NM_000044
hsa-miR-488-5p,NM_000044
hsa-miR-124-3p,NM_000044
hsa-miR-31-5p,NM_001664
hsa-miR-155-5p,NM_001664
hsa-miR-200c-3p,NM_001664
hsa-miR-185-5p,NM_001664
hsa-miR-122-5p,NM_001664
hsa-miR-31-3p,NM_001664
hsa-miR-375,NM_001664
hsa-miR-21-5p,NM_004040
hsa-miR-223-3p,NM_004040
hsa-miR-302b-3p,NM_001042678
hsa-miR-138-5p,NM_001042678
hsa-miR-372-3p,NM_001042678
hsa-miR-200b-3p,NM_001254738
hsa-miR-17-5p,NM_001254738
hsa-miR-151a-5p,NM_001185077
hsa-miR-16-5p,NM_001199745
hsa-miR-494-3p,NM_001030272
hsa-miR-142-3p,NM_001030272
hsa-miR-214-3p,NM_001675
hsa-miR-200b-3p,NM_001042681
hsa-miR-429,NM_001042681
hsa-miR-122-5p,NM_000702
hsa-miR-101-3p,NM_001686
hsa-miR-1,NM_001693
