miRNA;gene_name;EnsemblId;Positive_Negative
hsa-miR-31-3p;SLC26A3;ENSG00000091138;0
hsa-miR-200c-3p;Sep-07;ENSG00000122545;0
hsa-miR-19a-5p;CLIP1;ENSG00000130779;0
hsa-miR-140-3p;MAP2K3;ENSG00000034152;0
hsa-miR-941;RAB14;ENSG00000119396;0
hsa-miR-146a-5p;HDAC7;ENSG00000061273;0
hsa-miR-146a-3p;HDAC7;ENSG00000061273;0
hsa-miR-941;RGN;ENSG00000130988;0
hsa-miR-941;KIAA0368;ENSG00000136813;0
hsa-miR-1291;JUP;ENSG00000173801;0
hsa-miR-146a-5p;PELI1;ENSG00000197329;0
hsa-let-7c-5p;MPL;ENSG00000117400;0
hsa-miR-145-5p;BMP7;ENSG00000101144;0
hsa-miR-17-3p;BACH1;ENSG00000156273;0
hsa-miR-17-5p;BACH1;ENSG00000156273;0
hsa-miR-99a-5p;MMP10;ENSG00000166670;0
hsa-miR-1-3p;ATM;ENSG00000149311;0
hsa-miR-941;ADGRL1;ENSG00000072071;0
hsa-miR-941;CTDSPL2;ENSG00000137770;0
hsa-miR-138-5p;EED;ENSG00000074266;0
hsa-miR-99a-5p;NPC1L1;ENSG00000015520;0
hsa-miR-941;CABP4;ENSG00000175544;0
hsa-miR-29b-3p;ITIH5;ENSG00000123243;0
hsa-miR-138-5p;ALOX5AP;ENSG00000132965;0
hsa-miR-941;SLC30A9;ENSG00000014824;0
hsa-miR-941;DLD;ENSG00000091140;0
hsa-miR-941;ZNF740;ENSG00000139651;0
hsa-miR-145-5p;PTP4A1;ENSG00000112245;0
hsa-miR-99a-5p;CDKN1A;ENSG00000124762;0
hsa-miR-99a-5p;HSPA4L;ENSG00000164070;0
hsa-miR-145-5p;STAT3;ENSG00000168610;0
hsa-miR-10b-5p;NRP2;ENSG00000118257;0
hsa-miR-488-5p;GABRA6;ENSG00000145863;0
hsa-miR-99a-5p;TBC1D16;ENSG00000167291;0
hsa-miR-200b-3p;VAC14;ENSG00000103043;0
hsa-miR-21-5p;RPL19;ENSG00000108298;0
hsa-miR-146a-5p;CLIP1;ENSG00000130779;0
hsa-miR-488-3p;GABRA6;ENSG00000145863;0
hsa-miR-99a-5p;NID2;ENSG00000087303;0
hsa-miR-27a-5p;DVL2;ENSG00000004975;0
hsa-miR-200a-3p;RASSF2;ENSG00000101265;0
hsa-miR-941;C11orf63;ENSG00000109944;0
hsa-miR-125a-5p;MYC;ENSG00000136997;0
hsa-miR-941;RAD51;ENSG00000051180;0
hsa-miR-429;RASSF2;ENSG00000101265;0
hsa-miR-146a-5p;CLIC4;ENSG00000169504;0
hsa-miR-99a-5p;CISD1;ENSG00000122873;0
hsa-miR-1291;PRKCA;ENSG00000154229;0
hsa-miR-941;ERCC6L2;ENSG00000182150;0
hsa-miR-99a-5p;CYP2C18;ENSG00000108242;0
hsa-miR-182-5p;HPRT1;ENSG00000165704;0
hsa-miR-941;XKR8;ENSG00000158156;0
hsa-miR-99a-5p;B3GNT2;ENSG00000170340;0
hsa-miR-155-5p;PIK3R1;ENSG00000145675;0
hsa-miR-27a-3p;LEF1;ENSG00000138795;0
hsa-miR-941;UST;ENSG00000111962;0
hsa-miR-941;SDCCAG3;ENSG00000165689;0
hsa-miR-138-5p;HOXA1;ENSG00000105991;0
hsa-miR-339-3p;NTRK3;ENSG00000140538;0
hsa-miR-339-5p;NTRK3;ENSG00000140538;0
hsa-miR-941;PXMP4;ENSG00000101417;0
hsa-miR-29b-3p;PDGFRB;ENSG00000113721;0
hsa-miR-155-5p;SOX10;ENSG00000100146;0
hsa-miR-126-3p;RGS3;ENSG00000138835;0
hsa-miR-941;H1F0;ENSG00000189060;0
hsa-miR-941;KIF13B;ENSG00000197892;0
hsa-miR-941;IGSF3;ENSG00000143061;0
hsa-miR-1246;FAM3C;ENSG00000196937;0
hsa-miR-146a-5p;CDKN1A;ENSG00000124762;0
hsa-miR-29b-3p;RUNX2;ENSG00000124813;0
hsa-miR-182-5p;CREB1;ENSG00000118260;0
hsa-miR-30c-5p;CEBPE;ENSG00000092067;0
hsa-miR-941;IQCC;ENSG00000160051;0
hsa-miR-99a-5p;CTCFL;ENSG00000124092;0
hsa-miR-181d-5p;AKT1;ENSG00000142208;0
hsa-miR-29a-3p;ITIH5;ENSG00000123243;0
hsa-miR-941;ZNF276;ENSG00000158805;0
hsa-miR-941;SERF1B;ENSG00000205572;0
